id,rank,win%,k/d,dmg/rnd,region,acc_head_%,acc_head_hits,acc_body_%,acc_body_hits,acc_leg_%,acc_leg_hits,matchs_played,headshot_%,wins_total,kills_total,avg_kill_per_rnd,top_agent_nam,top_agent_time_hrs,top_agent_matchs,top_agent_win_%,top_agent_kd_avg,top_agent_adr
Agentyyyk69#6969,Platinum 2,50.7,1.04,157.7,CZ,29.5,327,65.9,732,4.6,51,513,18.8,254,"8,498",0.8,Neon,174,315,50.2,1.03,155.9
Stardust#9005,Gold 1,52.5,1.18,149.6,BR,15.3,180,78.7,925,6,70,231,15.9,112,"3,366",0.7,Chamber,32,52,48.1,1.1,137.5
ADIRE Tressort#BELG,Diamond 3,65.1,1.05,148.9,BE,24.6,243,68.7,679,6.8,67,390,19.1,192,"6,532",0.8,Reyna,90,158,50,1.14,165.4
Rambeaulo#8830,Silver 3,49.1,0.92,133.6,GB,14,152,77.4,837,8.6,93,246,13.4,121,"3,380",0.7,Breach,51,90,48.9,0.89,130.4
Quanxi#2222,Bronze 3,50,0.89,132.9,US,15.8,168,75.4,799,8.8,93,106,15.3,51,"1,347",0.6,Chamber,13,23,56.5,0.91,130.9
SKIL#3115,Platinum 3,52.2,0.98,143.3,RO,20.8,212,74,753,5.2,53,499,18.4,247,"6,844",0.6,Omen,46,80,48.8,0.81,124.1
N0t4lxx#2140,Platinum 1,55,1.34,170.3,MK,23.4,299,69.9,893,6.7,86,232,19.3,126,"4,337",0.9,Jett,58,103,52.4,1.23,170.4
LAUHAX#1337,Ascendant 2,52.9,1.03,133.6,RO,17.1,168,76.4,749,6.4,63,497,17.6,265,"8,358",0.8,Sage,86,151,57,1.09,141.3
Gr1D#LFG,Diamond 1,45.7,0.82,124.6,RU,20.1,193,71.3,684,8.6,82,"1,032",17.3,509,"13,720",0.6,Sova,105,183,57.4,0.91,129.7
hkz5#EUW,Iron 3,14.3,0.59,109.7,TN,9.3,45,74.1,357,16.6,80,7,9.3,1,79,0.5,Sage,4.2,7,14.3,0.59,109.7
EpokGamer69#EUNE,Unranked,50,1.01,125,PL,2.7,2,63.5,47,33.8,25,1,2.7,0,9,0.4,Sage,0.6,1,0,0.45,79
Aurxllie#bunny,Platinum 1,33.3,1.15,153.9,GB,19.5,225,75.1,868,5.4,63,580,18.5,290,"10,155",0.8,Reyna,77,138,47.8,1.23,165.8
TheCorvenga#TR1,Diamond 2,39.5,1.02,144.5,TR,17,160,73.7,693,9.3,87,"2,771",15.9,"1,339","43,105",0.7,Sage,564,977,48.9,0.99,136.5
Toys Fran#CUU,Immortal 1,46.7,0.85,129.3,MX,22.3,203,70.5,643,7.2,66,"2,327",26.8,"1,162","38,366",0.8,Jett,607,"1,047",48.9,1.04,155.6
ProfessorDaddy#EUNE,Gold 3,56.2,1.55,193.9,GR,18.9,242,75.4,965,5.7,73,270,15.3,147,"5,741",1,Chamber,74,130,58.5,1.68,203
u can add me#daddy,Platinum 1,70,1.89,211.1,CA,25.8,350,68.8,934,5.4,73,55,24.2,33,"1,238",1.1,Reyna,12,23,65.2,1.86,217.2
Bashar#0001,Ascendant 3,40,1.12,145.5,TR,21.9,211,73.9,712,4.2,40,893,21,435,"14,742",0.8,Sage,84,146,48.6,1.15,144.3
x3prox6#EUW,Platinum 1,56.5,1.2,164.8,GB,32.5,283,62.9,547,4.6,40,614,21.3,299,"10,990",0.9,Jett,200,349,51.6,1.14,169.6
anak 2lie#WAW,Platinum 3,76.9,1.43,158,ID,17.2,207,75.8,911,7,84,466,13,247,"6,783",0.7,Sage,135,232,53.4,1.12,128.6
Sensei#0099,Diamond 1,62.5,1.21,155,None,17.7,203,74,851,8.3,96,"1,385",15.2,690,"21,745",0.8,Reyna,327,563,51.7,1.11,156.2
MP KaiserXImpact#God,Silver 3,52.2,1.53,204.7,RU,18.9,259,75,1029,6.1,84,155,19.9,78,"3,302",1,Jett,46,78,53.8,1.39,195.2
strawberryy#smol,Gold 1,64.7,1.27,153.8,US,18.8,225,74.8,897,6.5,78,298,15.6,151,"4,608",0.7,Reyna,55,96,49,1.09,156.5
MrScope#bot,Gold 2,49.4,1,140,IN,18.1,202,72.5,808,9.4,105,826,15.4,414,"12,377",0.7,Killjoy,129,226,56.6,1.04,151.8
Beerus#8333,Platinum 1,36.4,0.8,117.3,PH,18.4,177,74.8,720,6.9,66,757,14.6,368,"11,500",0.7,Jett,99,168,44,1.01,147.4
Kabel#1887,Platinum 1,59.7,0.96,140.9,DE,16.7,180,76.9,827,6.3,68,356,14,186,"5,147",0.7,Omen,91,157,58,1.01,144.8
Cam Enjoyer#cyphe,Diamond 2,60,1.14,141.7,IN,18.9,218,74.2,854,6.9,79,"1,478",14,716,"22,743",0.7,Cypher,616,"1,027",48.9,1.03,140.6
August D#1411,Diamond 2,64.6,1.12,145.9,US,21.4,212,72,714,6.7,66,300,17.4,151,"4,552",0.7,Sage,71,121,49.6,0.85,119.6
LGSJason#EUW,Diamond 2,55.1,0.91,128.2,ES,23.2,211,71.5,650,5.3,48,418,19.1,222,"6,124",0.7,Brimstone,59,96,59.4,1.01,141.8
Goslar#BR1,Platinum 3,42.9,0.88,140.8,BR,15.3,167,76.4,835,8.3,91,198,14.4,104,"2,750",0.7,Killjoy,21,39,53.8,1.07,155.4
nkm#4911,Gold 1,62.5,1.63,166.9,DK,14.6,187,74.6,957,10.8,139,20,14.6,8,330,0.8,Phoenix,9.8,17,47.1,1.34,155
Pug#FRFR,Platinum 1,33.3,0.8,121.3,IL,11.6,149,79.6,1018,8.8,112,56,13.9,27,801,0.7,Skye,30,52,46.2,0.94,123.9
magizz#1700,Silver 3,25,1.12,167.4,SG,25.4,298,70,820,4.5,53,40,23.5,14,785,0.9,Brimstone,6,10,50,1.52,185
Man Of Culture#9798,Platinum 2,50,1.43,189.2,IN,19.1,302,71.9,1136,8.9,141,596,15.6,291,"9,527",0.8,Reyna,156,255,53.3,1.39,184.2
Aishiteru#Lucy,Gold 2,61.5,1.37,186.6,GB,22.4,203,68.8,625,8.8,80,495,18.8,244,"6,798",0.7,Sage,86,150,52,0.72,98.1
Snekxsiツ#Toxic,Gold 3,59.3,1.19,159,DE,27,294,68.8,748,4.1,45,568,15.2,280,"8,594",0.8,Reyna,75,137,51.8,1.18,177.4
Aditi#UwU,Silver 1,48.7,1.02,144.4,IN,18.9,214,69.9,792,11.2,127,498,18.1,226,"7,036",0.7,Sage,64,115,42.6,0.76,110.7
AeD Castiel#Adi,Silver 3,44.2,1.01,140,BR,8.8,133,73.8,1109,17.4,261,738,8.8,344,"10,442",0.7,Brimstone,331,547,46.4,0.93,129.7
6Vibes#TTV,Immortal 1,48.8,0.89,134.4,JO,24.8,213,69.1,593,6.1,52,"1,824",17.3,927,"27,899",0.7,Reyna,234,409,53.3,1.08,150.7
ReverseWK#7299,Diamond 1,55.7,1.32,159.3,DO,27.4,236,69.8,602,2.8,24,162,16.4,80,"2,765",0.8,Chamber,35,59,55.9,1.31,160.7
Chef Revere#chef,Silver 1,49,1.02,130.9,US,15,179,74.2,887,10.9,130,560,12.8,262,"7,453",0.7,Breach,84,150,51.3,0.99,146.4
Hakan#SAGE,Gold 2,56.7,1.21,172.3,TR,29.8,310,67,698,3.3,34,202,19.1,98,"3,171",0.8,Sage,69,128,47.7,0.95,141.9
Guti20k#BEAR,Platinum 3,53.1,1.05,145.7,ES,20.5,264,71.8,925,7.7,99,769,17.3,377,"12,744",0.8,Reyna,82,146,52.1,1.2,174.1
her moon#lxrd,Diamond 1,33.3,1.06,146.2,JP,20.9,271,72.2,937,6.9,89,729,21.3,356,"14,356",1,Jett,208,371,52.3,1.7,215.2
His Jett#mooky,Diamond 3,60.8,1.16,153.4,US,25.5,291,70.3,803,4.3,49,400,22,208,"6,566",0.8,Jett,77,134,56,1.11,150
SoftMist#TangR,Iron 3,48,0.94,142.1,MX,15.4,184,77.5,925,7,84,351,13.8,159,"4,180",0.6,Reyna,80,151,44.4,0.78,128.9
leashajane#8419,Bronze 1,47.8,0.75,99.3,AU,15.1,115,74.8,571,10.1,77,42,12.1,18,364,0.4,Sage,13,24,50,0.61,89.6
pebbles#1427,Immortal 1,57.6,1.07,140.7,US,21.7,188,73,634,5.3,46,"1,207",22.9,616,"20,025",0.8,Omen,561,997,52.1,1.1,150
kuvi#rina,Platinum 3,37.5,0.82,130,US,19.4,209,75,809,5.7,61,796,16.6,397,"10,221",0.6,Sage,114,204,46.1,0.65,93
Itachi#GHG7,Gold 3,52.4,0.98,147.7,US,18.7,225,71.5,859,9.7,117,998,15.7,483,"16,718",0.8,Reyna,332,599,48.4,1.1,164
MG Maseo#smt,Diamond 1,63.9,1.18,138.8,PH,26,202,69.4,539,4.6,36,505,22.2,254,"8,453",0.8,Chamber,96,160,55.6,1.35,156.9
Denji#nezu,Diamond 2,46.8,1.01,141.1,IE,25.9,254,69.8,683,4.3,42,"1,726",18.3,839,"25,284",0.7,Jett,467,803,47.2,0.98,145.1
YILAN AYHAN#TISS,Ascendant 2,53.1,0.94,138.5,TR,19.6,217,74,821,6.4,71,"1,193",22.6,586,"17,415",0.7,Sage,260,453,50.3,0.96,128.5
justmilos#2379,Gold 1,45.5,1.02,145.3,SK,19.9,231,70.5,820,9.6,112,210,13,107,"3,297",0.8,Chamber,73,125,54.4,1.15,150.5
YURA#8603,Silver 3,55,1.09,147.8,MM,12.7,160,73.1,923,14.2,179,241,12.6,123,"3,787",0.8,Reyna,18,32,68.8,1.4,182.6
minty#7456,Ascendant 1,48.1,1.16,144.9,US,27.1,291,69.1,741,3.7,40,632,21.2,316,"9,574",0.7,Omen,91,157,51,1.14,138.3
Conavix#GFYS,Gold 1,57.1,1.41,166.8,US,39.3,333,58.1,492,2.6,22,136,27.4,71,"2,205",0.8,Omen,59,103,50.5,1.23,153.3
twich lucasnkt#1111,Diamond 3,52.2,1.24,154.5,US,34.5,279,60.6,490,4.8,39,213,30.8,111,"3,785",0.8,Reyna,47,79,55.7,1.41,180.8
XPR Chrizz#XPRO,Platinum 1,49.2,0.87,108.4,VE,18.9,182,71.1,685,10.1,97,165,16.4,85,"2,149",0.6,Chamber,28,47,40.4,0.9,118.7
Twitch Fostzzh#LLL,Diamond 1,69.2,1.03,151.9,BR,15.1,174,74.1,854,10.8,125,242,14.2,122,"3,778",0.8,Raze,53,93,62.4,1.11,166.3
HolaFriend#LAT,Silver 2,23.1,0.77,129.9,LV,17.2,135,69.5,544,13.3,104,14,17.2,3,173,0.6,Phoenix,6.9,12,25,0.79,131.5
Toast#9551,Bronze 2,34.8,0.83,115.7,US,16.1,153,70.4,667,13.5,128,274,13.8,128,"3,858",0.7,Reyna,103,184,46.2,1.02,139.1
Medou#FUNDR,Platinum 2,58.3,0.93,134,CA,22.8,233,72.4,740,4.8,49,546,23.5,288,"8,211",0.7,Reyna,97,169,52.7,1.03,153.9
TheHaxxer#1111,Iron 3,45.5,1.12,169.3,US,9.5,122,72.9,934,17.6,226,29,9.1,9,381,0.7,Breach,4.5,8,50,1.2,181.8
Ony#123,Immortal 1,46.3,1,134.6,DE,12.6,138,77.8,854,9.6,105,"3,336",15.7,"1,623","50,793",0.7,Reyna,472,810,49.6,1.08,148.4
just azur#capi,Gold 1,33.3,1.46,209.8,MN,25.3,322,70.6,897,4.1,52,726,18.9,364,"12,302",0.8,Jett,163,284,54.6,1.2,163.3
murftankk#7004,Gold 3,58.1,0.99,141.5,GB,27.5,272,67.1,664,5.4,53,695,19.5,357,"10,841",0.8,Omen,122,214,54.7,1.03,146.2
imposterhank#2087,Silver 3,60.5,1.31,159.7,US,9.2,134,70.8,1030,20,291,127,8.1,61,"2,064",0.8,Reyna,20,34,26.5,1.32,157.3
Bagua#Zhang,Diamond 3,46.8,0.94,139.3,IL,16.5,150,77,699,6.5,59,"2,621",15.1,"1,280","39,480",0.7,Jett,816,"1,407",47.7,0.99,143.3
ChromicBubblez#Zoro,Iron 3,44.4,0.69,87.3,US,7.1,68,77.5,742,15.4,147,42,8.3,17,319,0.4,Sage,12,24,37.5,0.61,81.9
LFT etif#UKR,Immortal 3,61.5,1.14,145.1,CZ,28,268,65,622,7,67,818,27.2,416,"12,601",0.7,Sova,95,164,50.6,0.98,133.3
Rouge#nvm,Ascendant 1,52.1,0.98,135.5,KH,23.8,202,68.6,582,7.7,65,"1,915",20.4,941,"29,444",0.7,Reyna,256,441,48.8,1.1,164.8
Lxoyii#TopG,Diamond 2,56.2,1.18,153.2,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soupy#1228,Platinum 1,36.4,0.95,135.9,US,19.5,206,76.4,808,4.2,44,304,15.6,150,"5,423",0.9,Sage,57,99,52.5,1.08,143.1
StellarIceberg#KEKW,Gold 3,52.1,1.25,169.5,AU,18.3,209,71.5,814,10.2,116,178,15.9,82,"3,191",0.9,Phoenix,38,67,47.8,1.37,189.4
Not Important#0456,Bronze 2,45,0.79,112.2,US,18.1,184,76.4,779,5.5,56,508,14.9,245,"6,338",0.6,Sage,67,115,49.6,0.78,111.7
NotDerekXV#7669,Platinum 2,45.7,1.02,136.3,MY,12,150,76.2,950,11.7,146,109,14.5,51,"1,521",0.7,Sova,10,20,50,1.07,129.1
i0ki#9819,Iron 2,45.5,1.31,157.8,PH,7.9,131,77.1,1285,15,250,85,9.2,36,"1,126",0.7,Viper,26,42,50,1.08,141.2
edward#balls,Platinum 2,50,1.07,147.1,US,18.5,195,74.9,791,6.6,70,52,15.8,26,763,0.7,Reyna,13,24,50,0.97,145.4
Timeb0mb#IeS,Bronze 3,44.8,0.78,116.7,US,13.5,165,75.3,923,11.2,137,32,13.3,13,362,0.6,KAY/O,8,14,35.7,0.73,107.1
MezX#06060,Platinum 2,62,1.44,171,FR,20.4,245,74.4,895,5.2,63,65,19.8,39,"1,205",0.9,Viper,11,19,42.1,1.26,157.8
kelow#domi,Silver 3,49.5,1.09,148.3,US,14.7,196,79.9,1067,5.4,72,298,16.4,145,"4,650",0.7,Fade,98,165,45.5,1.01,142.1
ramenplz#cu bu,Platinum 2,39.2,0.97,142,US,23.8,261,69.4,760,6.8,74,473,17.1,234,"6,815",0.7,Brimstone,64,110,54.5,1.04,144.9
SaEeD#ssr,Diamond 3,60,0.83,122,None,18.9,187,73.7,729,7.4,73,555,15.8,289,"7,941",0.7,Viper,103,179,55.9,0.99,141.7
Templess#TTV,Ascendant 1,40.3,1.05,154.2,FR,15.7,206,79.8,1050,4.6,60,"1,997",18.1,961,"30,428",0.7,Raze,376,636,48.1,1.02,153.5
kukasbacsi#tej,Silver 1,43.5,1.27,184.5,HU,19,266,74.8,1047,6.1,86,556,14.1,282,"9,747",0.9,Reyna,117,213,56.8,1.26,184.4
Jumpshotjake#1500,Silver 1,56,1.06,137.6,US,21.6,173,71.9,575,6.5,52,435,16.2,216,"5,387",0.6,Sage,41,70,47.1,0.77,115.7
yxz#0001,Gold 3,53.2,1.01,145.7,GB,18.5,217,75.9,890,5.5,65,765,12.4,379,"10,604",0.7,Viper,167,309,51.5,0.95,134.9
artiva#athlt,Platinum 3,55,0.98,141.7,RU,25.5,381,70,1048,4.5,68,266,23.5,143,"3,944",0.7,Reyna,26,48,45.8,0.88,137.2
bun#kekw,Bronze 2,52.1,0.97,131.2,NO,16.8,141,76.5,641,6.7,56,432,15,204,"5,376",0.6,Sage,132,234,46.6,0.84,119.2
Dazzling Mangoe#furry,Bronze 2,41.7,1.08,163.2,AU,24.3,277,69.6,794,6.1,69,108,16.1,47,"1,484",0.7,Fade,26,47,51.1,0.93,134.7
BigTiddieGoth#alone,Gold 2,43.3,0.86,125.6,DE,13,178,81.6,1115,5.4,74,202,14,108,"2,575",0.6,Killjoy,44,78,46.2,0.73,110.9
Thewalkingant#Fresh,Silver 2,48.5,1.08,136.1,DE,8.8,117,77.8,1036,13.4,178,356,9.4,167,"4,670",0.7,Viper,95,163,44.8,0.98,125.2
BrainMoment#7468,Iron 3,42.1,0.87,115.5,US,11.8,111,71.3,672,16.9,159,44,10.8,18,512,0.6,KAY/O,11,24,41.7,0.8,113.1
DieMoon26#RU1,Gold 2,55.6,0.93,132.2,RU,18.7,164,71.3,624,9.9,87,189,15.5,101,"2,730",0.7,Sage,67,113,56.6,1.04,141.2
30 No Vává#gvs,Gold 3,32,1.16,141.9,BR,25.2,204,70.4,570,4.4,36,337,24.8,163,"5,580",0.8,Reyna,36,60,56.7,1.33,167.3
TrillaryClinton#6969,Diamond 1,55.6,1,139.8,US,32.9,288,62.9,551,4.2,37,"2,293",22.9,"1,121","39,130",0.8,Jett,688,"1,201",50.4,1.16,159
he railed me#her,Diamond 3,42.1,0.96,146.4,LT,27.3,289,67,709,5.7,60,327,24.1,167,"5,988",0.9,Neon,74,131,56.5,1.13,164.7
F4nlty#5049,Gold 3,40,0.97,130.1,US,14,150,76.3,815,9.6,103,408,12.7,203,"5,485",0.7,Sage,55,103,52.4,0.83,112.7
toobster#1106,Unranked,46.4,0.83,112.7,GB,19.2,184,76.3,730,4.5,43,93,14.2,44,"1,227",0.7,Sage,30,55,52.7,0.96,143.3
noober#nooub,Bronze 3,43.8,1.27,177.4,US,16,211,75.1,990,8.9,118,127,13.6,63,"1,975",0.8,Omen,22,41,51.2,1.08,158.3
LFT Algxrithm#305,Immortal 1,63.6,1.2,162.2,MX,22.9,268,71.2,834,6,70,621,20.8,327,"10,756",0.8,Chamber,59,105,52.4,1.42,159.6
BigManNiki#EUW,Gold 2,52.2,1.11,145.4,CH,30.6,247,64.6,522,4.8,39,340,21.2,163,"5,427",0.8,Viper,70,118,48.3,1.08,146.4
losersq enjoyer#tilt,Ascendant 2,51.1,1.04,141.6,CZ,34,265,62.5,487,3.5,27,237,23.2,127,"3,946",0.8,Jett,34,60,65,1.13,157.6
DucksGoQuack#nolol,Bronze 2,50,1.77,212.4,IT,20,248,73,906,7,87,20,20,9,336,0.8,Yoru,8.4,15,53.3,1.37,185.9
EThAN#STY,Platinum 2,50.7,1.39,181.2,IN,17.3,280,77.4,1253,5.3,86,"2,056",14.3,988,"37,291",0.9,Reyna,600,"1,009",50.1,1.31,169.3
Xebec#1320,Bronze 1,48.4,1.01,138.5,IN,16.6,188,73.4,832,10,113,589,11.9,292,"8,523",0.7,Jett,77,137,48.2,0.98,139.6
XH Elly#HIRO,Ascendant 3,50,0.94,124.2,PH,18.4,208,74.6,843,7,79,414,19.1,216,"6,091",0.7,Chamber,55,96,56.2,1.03,133.7
vicious#0007,Gold 2,56.1,1.18,141.8,US,28.5,280,64,628,7.5,74,463,26.8,240,"8,667",0.9,Sova,38,72,52.8,1.43,195.1
NCS Nixxz#0810,Platinum 2,66.7,1.42,166.9,VN,24.1,285,72.6,859,3.4,40,121,18.6,64,"1,930",0.8,Sova,13,23,43.5,1.21,154.7
Iceッ#0406,Diamond 3,50,1.05,137,DE,30.7,279,63.5,577,5.7,52,510,25,262,"8,620",0.8,Sage,92,163,52.8,1.08,142.5
Sakura#MYMTO,Diamond 1,75,1.13,157.7,PH,23.2,242,69.8,727,6.9,72,177,19.1,98,"2,489",0.7,Astra,23,42,45.2,0.9,123.3
agooo#007,Diamond 3,49.3,1.13,153.2,IT,26.2,268,67.5,689,6.3,64,457,20.9,237,"7,772",0.8,Phoenix,76,135,53.3,1.21,167.2
Naym#iT0B1,Gold 2,51.6,0.7,109.6,GB,22.4,169,69.8,526,7.8,59,129,15.8,63,"1,447",0.5,Raze,32,59,45.8,0.67,111.8
DarkEroma#Omen,Platinum 3,56.7,1.1,129.7,GB,11.3,132,80,938,8.8,103,748,9.5,369,"11,309",0.7,Omen,421,736,49.6,1.05,134.9
TenZ Smurf#6481,Unranked,0,0.21,44.9,US,5.9,1,70.6,12,23.5,4,1,5.9,0,3,0.2,Yoru,0.3,1,0,0.21,44.9
ElPixitaMorlas#2010,Platinum 1,50,0.98,157.1,ES,19.5,222,72.7,826,7.7,88,"1,546",17.3,768,"24,846",0.8,Brimstone,155,267,52.1,0.91,148.1
Maey#nani,Bronze 1,50.9,0.76,106.4,PH,9.2,94,78.1,799,12.7,130,57,9,29,615,0.6,Reyna,7.2,13,61.5,1.06,138.7
Immortalized#X4TY,Diamond 1,47.8,1.32,190.1,TR,19.8,260,74.8,982,5.4,71,860,23.5,421,"14,706",0.8,Sage,92,159,48.4,1.04,142.7
SALAMANDER#2020,Platinum 1,46.7,1.16,154.3,ID,23.9,248,70.5,733,5.6,58,541,19.9,274,"8,270",0.7,Reyna,45,80,55,1.11,161.4
Ravcix#EUNE,Bronze 2,60,1.4,180.1,PL,25.8,312,68.5,828,5.6,68,39,24.2,16,680,0.8,Brimstone,8.9,15,46.7,1.21,166.1
Keremy#1881,Ascendant 2,64,1.1,155.3,TR,27.9,275,66.6,656,5.5,54,594,19.8,308,"10,183",0.8,Jett,76,135,48.1,1.18,159.8
TNG ルミナス#rumin,Gold 3,47.5,1.08,156.4,VN,18.1,227,74.9,939,7,88,"1,767",15.3,855,"27,354",0.8,Omen,387,668,50.9,1.08,138.7
BLCK Adden#8921,Gold 1,43.8,1.03,166.2,MY,14.5,202,76.6,1070,8.9,125,73,14.2,36,"1,331",0.9,Jett,8.4,15,53.3,1.27,191.1
zeph013#2192,Iron 3,55.2,1.37,143.9,IN,10.2,139,76.6,1047,13.2,180,92,8.5,42,"1,371",0.7,Fade,25,42,52.4,1.09,128.2
ande wala burger#6969,Unranked,33.3,0.77,128.9,IN,13.7,129,73.1,688,13.2,124,18,13.7,6,208,0.6,Viper,2.7,4,25,0.85,118.7
Mac N1khako#kujo,Ascendant 1,51.1,1.3,154.7,RU,29.3,261,66.1,589,4.6,41,778,21.3,385,"12,812",0.8,Sage,126,210,51,1.1,141
clickdroit#5409,Gold 2,65,1.75,238.6,FR,31.8,461,64.4,933,3.7,54,65,22.9,38,997,0.7,Omen,11,19,63.2,0.58,96
Dev1l#MVP,Diamond 3,46.3,0.95,126.4,DZ,20.7,181,72.4,632,6.9,60,456,20.7,216,"6,199",0.6,Brimstone,80,135,49.6,0.87,122.8
Zavier#toe,Gold 3,0,1.16,143.5,SG,27.3,314,69.1,795,3.6,41,222,19.3,113,"3,976",0.9,Reyna,75,134,47,1.2,173.4
Scaleny#Dakk,Diamond 2,44.4,0.93,124.5,CA,11.8,158,73.3,978,14.9,199,"1,152",10.2,583,"15,122",0.6,Viper,257,452,52.4,0.94,127.9
twitter 44Jord#4444,Immortal 1,53.5,1.25,172.5,ZW,26.5,286,67.8,733,5.7,62,"1,447",22.4,734,"25,684",0.8,Jett,258,459,49,1.21,172.3
AMBASSADOR#NOTAG,Immortal 3,47.4,0.92,132.1,CA,21.7,217,71.4,715,6.9,69,"3,777",21.7,"1,871","55,815",0.7,Sova,709,"1,250",49.4,0.95,139.1
glitzy#haha,Iron 3,65.2,0.79,112,SG,13.1,127,72.9,708,14,136,44,13.1,27,477,0.5,Sage,5.4,9,55.6,0.69,81.3
I Çame BY#MMDDD,Immortal 1,88.9,1.64,169.7,EG,18.2,224,76.7,944,5.1,63,91,18.8,60,"1,478",0.8,Breach,13,23,60.9,1.16,154.4
MattPoomey#6612,Ascendant 3,67.4,1.2,160.8,AT,24.2,288,70.3,835,5.5,65,616,22.5,321,"10,941",0.8,Reyna,140,242,53.7,1.3,179.5
chickencurry#9765,Diamond 3,47.8,1.07,142.6,PH,24.1,241,71.9,720,4.1,41,989,18.8,490,"14,680",0.7,Reyna,78,137,56.2,1.15,160.9
steen1x#ENCK,Diamond 2,56.2,1.05,137,RU,20.7,204,70.3,692,8.9,88,300,17.2,148,"4,559",0.7,Jett,57,95,51.6,0.99,137.2
F1NALfL4SH#2631,Silver 1,42.1,1.04,155.1,IN,24.6,293,69.8,833,5.6,67,293,20.9,141,"4,953",0.8,Sage,90,148,50.7,1.22,144.3
Hodg#1415,Immortal 3,56.3,1.09,152.3,GB,23.9,226,68.6,649,7.5,71,363,21.9,192,"6,166",0.8,Chamber,59,103,47.6,1.13,157.1
chopitin#EUW,Platinum 2,54.3,1.05,153,ES,25.9,274,70.4,743,3.7,39,271,25.1,130,"4,674",0.8,Omen,106,182,50,1.11,160.6
WALLACE#walec,Immortal 2,62.7,1.26,173.4,PL,17.8,218,75.2,923,7,86,597,21.6,309,"10,400",0.8,Phoenix,160,285,53,1.18,164.3
TAPPIN#KKC,Diamond 3,50.8,1.03,149.1,SK,36.3,314,61.2,530,2.5,22,685,29.6,343,"11,319",0.8,Jett,272,485,48.9,1.06,153.2
duck#honkk,Diamond 1,48.8,0.99,130.6,SG,12.5,200,82.3,1314,5.1,82,711,13.4,358,"11,584",0.8,Killjoy,307,539,51,1.13,153.2
mom jeans#0823,Silver 2,50,0.94,118.6,PH,14.7,161,75,820,10.3,113,108,12.6,53,"1,531",0.7,Sova,19,37,43.2,0.96,142.9
LFT Denn1sXD#007,Silver 2,51.4,1.11,149.3,IN,18.7,199,75.2,801,6.1,65,256,15.5,123,"3,764",0.7,Chamber,66,114,50.9,1.11,145.9